,cartao,cep,codigoMoedaDestino,codigoMoedaOrigem,cpf,dataCompra,dataEmissao,dataNascimento,dataValidade,empresa,estadoCivil,idConta,idEstabelecimento,idEventoCompra,idOperacao,latitude,limiteCredito,longitude,nome,numeroDependentes,numeroIdentidade,numeroParcelas,orgaoIdentidade,profissao,salario,sexo,tempoResidenciaAnos,tempoTrabalhoAnos,uf,valorCompra,valorParcela
14,5286094749852451,13660000,,,99997004205,2018-05-03T13:58:00,2016-07-01T01:29:43.383000,1961-06-22T00:00:00,2019-07-31T00:00:00,APOSENTADA,2,26452,,185268996,502,-21.8685227,1225.0,-47.4846157,DOGIMARIA ESTENHO,0.0,29957,3,SSPSP,4.0,1153.7,M,6.0,0.0,SP,43.98,18.8
15,5286094751382953,75534580,,,99996779670,2018-05-04T12:28:00,2016-07-01T01:29:45.067000,1983-06-18T00:00:00,2019-07-31T00:00:00,PREFEITURA  CLINICA EMMANUEL,1,28465,,185405318,28,-18.4192810059,680.0,-49.2387008667,ALDELI ESTENHO,0.0,32203,5,SSPGO,7.0,830.0,F,6.0,5.0,GO,309.97,61.99
16,5286098670047044,13880000,840.0,986.0,99996493431,2018-05-05T17:48:00,2016-11-01T02:19:01.753000,1988-11-06T00:00:00,2021-11-30T00:00:00,GOVERNO ESTADO SAO PAULO,2,31074,2812410.0,185688671,271,-21.8537627,2320.0,-46.8996933,LEOMY SERODIO,0.0,35065,2,SSPSP,8.0,830.0,F,5.0,3.0,SP,88.49,44.24
17,6505151936183361,84272554,986.0,986.0,99996475530,2018-05-04T10:34:00,2018-02-21T13:03:45.767000,1979-01-02T00:00:00,2023-02-21T13:04:00,DO LAR,8,31237,31624014.0,185382706,10493,-24.3256167,1750.0,-50.6315612,CLERBENIA SERODIO,0.0,35244,1,SSPPR,23.0,830.0,F,4.0,0.0,PR,50.0,50.0
18,5286096168699542,81260270,840.0,986.0,99996102262,2018-05-01T19:09:00,2016-08-01T00:16:52.277000,1976-11-30T00:00:00,2019-08-31T00:00:00,SECRETARIA DE EDUCACAO,2,34666,33821151.0,185043176,270,0.0,1250.0,0.0,HERMENILSON TESTANI,0.0,38977,1,SSPPR,8.0,1660.0,F,6.0,11.0,PR,52.94,52.94
19,6505148970219672,4813240,986.0,986.0,99995478773,2018-05-01T09:57:00,2018-01-10T15:27:11.200000,1979-10-21T00:00:00,2023-01-10T15:27:00,,1,40348,31707384.0,184986629,10493,-23.7224421,503.0,-46.6837618,GILVAR GRACILIANO,0.0,45212,1,SSPSP,,755.3,F,30.0,7.0,SP,26.24,26.24
20,5286127453769146,23970000,840.0,986.0,99995418010,2018-05-02T06:48:00,2017-05-15T22:52:08.437000,1994-08-13T00:00:00,2022-05-31T00:00:00,AUTONOMO   TRUFAS EE DOCES,1,40913,30156918.0,185068489,270,0.0,1570.0,0.0,ADA GRACILIANO,0.0,45819,1,SSPSP,3.0,830.0,F,10.0,0.0,RJ,64.52,64.52
21,6505154670796770,16303184,986.0,986.0,99994009737,2018-05-05T19:05:00,2018-04-01T01:01:46.450000,1972-06-05T00:00:00,2023-04-30T00:00:00,UNIMED DE PENAPOLIS COOPERATIVA DE TRABD,2,53824,31573372.0,185704679,10493,-21.4301263,900.0,-50.0676478,REGIRLANGIA CALDEIRA,0.0,59902,1,SSPSP,20.0,1245.0,F,3.0,7.0,SP,13.0,13.0
22,5286104584971093,11667785,840.0,986.0,99993617571,2018-05-05T15:16:00,2017-04-01T01:31:46.357000,1972-11-23T00:00:00,2022-04-30T00:00:00,COLONIA DE FERIAS ITATIBA,2,57472,33890295.0,185650667,270,-23.6952355,1750.0,-45.432661,VERANEUZA CALDEIRA,0.0,63824,1,SSPSP,20.0,830.0,F,11.0,13.0,SP,101.2,101.2
23,5286094766287201,18460000,840.0,986.0,99993433764,2018-05-02T18:37:00,2016-07-01T01:30:04.180000,1993-07-27T00:00:00,2019-07-31T00:00:00,COND PROFESSORES,1,59157,31001093.0,185180877,270,-24.1086177826,2000.0,-49.3161468506,SEBEVALTER SARRICO,0.0,65662,1,SSPSP,20.0,1245.0,M,9.0,1.0,SP,220.0,220.0
24,5286088371050439,16400010,840.0,986.0,99991993991,2018-05-01T01:31:00,2015-12-22T19:46:16.230000,1985-06-18T00:00:00,2018-12-31T00:00:00,JBS,2,72382,3474621.0,184972357,270,-21.6897528,900.0,-49.7410881,JANSLEI CALDEIRA,0.0,80060,1,SSPSP,10.0,830.0,M,6.0,3.0,SP,45.0,45.0
25,5269096593250699,87300970,840.0,986.0,99991651098,2018-05-02T11:44:00,2016-08-04T23:46:42.967000,1971-06-18T00:00:00,2021-08-31T00:00:00,FAZENDA SANTA MARIA,2,75544,33826708.0,185101118,270,-24.1494568,2530.0,-52.4075703,EMMANUELE FORTES,0.0,83489,1,SSPPR,23.0,830.0,F,3.0,0.0,PR,20.0,20.0
26,6505154859840706,79117180,986.0,986.0,99991609210,2018-05-04T13:53:00,2018-04-02T12:41:51.643000,1987-03-03T00:00:00,2023-04-30T00:00:00,FONTE PURA COMERCIO DE PURIFICADOR,1,75934,31601793.0,185422141,10493,-20.4493598938,700.0,-54.6540870667,NADIEL CORTES,0.0,83907,1,SSPMS,20.0,830.0,F,4.0,5.0,MS,6.38,6.38
27,5286094308027592,87113730,,,99991224009,2018-05-03T16:16:00,2016-06-16T19:10:08.640000,1968-04-28T00:00:00,2019-06-30T00:00:00,FA MARINGA,2,79469,,185295934,28,-23.4197441,1300.0,-51.8719976,VIEMAR MASCHIO,0.0,87759,3,SSPPR,20.0,1660.0,F,16.0,6.0,PR,79.99,26.66
28,6505152987004227,12446440,986.0,986.0,99990767939,2018-05-06T10:57:00,2018-03-05T16:51:51.547000,1980-04-13T00:00:00,2023-03-05T16:52:00,AB AREIAS,2,83644,33891384.0,185769398,10493,-23.0662297,1400.0,-45.5720215,ROZILENE SANDES,0.0,92320,1,SSPSP,5.0,1245.0,M,10.0,5.0,SP,50.0,50.0
29,5286090062954515,37550000,840.0,986.0,99990712441,2018-05-04T19:05:00,2016-02-26T17:19:29.080000,1968-11-05T00:00:00,2019-02-28T00:00:00,APOSENTADO,1,84154,2745260.0,185492760,270,-22.243464,3300.0,-45.8658105,OLIVANDA SATO,0.0,92875,1,SSPMG,4.0,929.6,M,0.0,0.0,MG,67.0,67.0
30,5286081685683287,37701074,986.0,986.0,99990531307,2018-05-03T10:47:00,2015-06-08T00:00:00,1957-02-01T00:00:00,2018-05-31T00:00:00,GABRIELE MONTEIRO DE CARVALKHO,1,85810,31611237.0,185518712,271,-21.7819041,4150.0,-46.5566144,ROSALHIA SATO,0.0,94686,3,SSPMG,3.0,1245.0,F,53.0,8.0,MG,118.5,39.5
31,6505153861384038,15900000,986.0,986.0,99990520453,2018-05-05T10:56:00,2018-03-18T11:13:05.167000,1990-03-22T00:00:00,2023-03-31T00:00:00,SERVENTE DE PEDREIRO,1,85912,31653537.0,185566010,10493,-21.4276244,1350.0,-48.5117194,ERIVANA SATO,0.0,94795,1,SSPSP,3.0,830.0,M,1.0,0.0,SP,46.75,46.75
32,5286097973785245,18200400,840.0,986.0,99990316929,2018-05-05T09:16:00,2016-09-16T18:33:13.873000,1965-01-16T00:00:00,2019-09-30T00:00:00,,2,87787,5558019.0,185539086,270,-23.570065,4000.0,-48.0222198,EMANUELI GRACILIANO,0.0,96830,1,SSPSP,,3320.0,M,21.0,13.0,SP,50.0,50.0
33,5286091336978320,81330000,840.0,986.0,99990232407,2018-05-02T13:36:00,2016-04-01T02:11:55.527000,1956-12-02T00:00:00,2019-04-30T00:00:00,,2,88571,33828432.0,185121506,271,-25.48753,2670.0,-49.33025,EVANEY CORTES,0.0,97675,2,SSPPR,4.0,830.0,F,35.0,0.0,PR,229.8,114.9
34,6505155575836448,15050460,986.0,986.0,99988867913,2018-05-04T08:26:00,2018-04-12T10:02:23.297000,1963-01-15T00:00:00,2023-04-30T00:00:00,,2,101125,33573311.0,185366698,10493,-20.7962435,900.0,-49.3695985,ALDENIZE CAMARCO,0.0,111320,1,SSPSP,,800.95,F,18.0,3.0,SP,17.2,17.2
35,5286098015596212,14407077,840.0,986.0,99988808402,2018-05-03T11:07:00,2016-09-23T10:05:45.457000,1996-02-26T00:00:00,2019-09-30T00:00:00,WM JOIAS,1,101677,2776647.0,185237410,270,-20.5030918121,3200.0,-47.4162483215,MAHERBAL MASCHIO,0.0,111915,1,SSPSP,20.0,830.0,F,19.0,4.0,SP,8.0,8.0
36,5286099058169433,81580500,840.0,986.0,99988316011,2018-05-02T22:51:00,2016-11-10T14:50:34.570000,1961-09-17T00:00:00,2021-11-30T00:00:00,CCD TRANSPORTES,2,106178,4763351.0,185205147,271,-25.495914,1000.0,-49.2219778,KAYONARA PRIETO,0.0,116839,4,SSPPR,20.0,1245.0,F,13.0,1.0,PR,170.82,42.7
37,5286096778056575,79400000,840.0,986.0,99988091508,2018-05-05T12:37:00,2016-08-10T00:35:33.037000,1980-01-29T00:00:00,2019-08-31T00:00:00,JF FERNANDES  ME,2,108258,3323463.0,185604003,270,-18.4955146,1245.0,-54.7399691,UDY PRIETO,0.0,119084,1,SSPMS,5.0,1245.0,M,22.0,16.0,MS,80.0,80.0
38,5286096778056575,79400000,840.0,986.0,99988091508,2018-05-03T19:24:00,2016-08-10T00:35:33.037000,1980-01-29T00:00:00,2019-08-31T00:00:00,JF FERNANDES  ME,2,108258,4046123.0,185335219,270,-18.4954066,1245.0,-54.7399908,UDY PRIETO,0.0,119084,1,SSPMS,5.0,1245.0,M,22.0,16.0,MS,558.04,558.04
39,6505141909247036,15910000,986.0,986.0,99987992366,2018-05-02T17:27:00,2017-11-15T16:01:35.930000,1980-02-01T00:00:00,2022-11-30T00:00:00,HBA HUTCHINSON,1,109168,32717232.0,185165980,10493,-21.2509189,2320.0,-48.5044564,LADEILZA LEOPOLDINO,0.0,120076,1,SSPSP,10.0,1660.0,M,0.0,6.0,SP,67.0,67.0
40,6505141909247036,15910000,986.0,986.0,99987992366,2018-05-02T16:03:00,2017-11-15T16:01:35.930000,1980-02-01T00:00:00,2022-11-30T00:00:00,HBA HUTCHINSON,1,109168,31601484.0,185148600,10493,-21.2509175,2320.0,-48.5044566,LADEILZA LEOPOLDINO,0.0,120076,1,SSPSP,10.0,1660.0,M,0.0,6.0,SP,6.48,6.48
41,6505141909247036,15910000,986.0,986.0,99987992366,2018-05-03T18:12:00,2017-11-15T16:01:35.930000,1980-02-01T00:00:00,2022-11-30T00:00:00,HBA HUTCHINSON,1,109168,33845306.0,185322006,10493,-21.2509199,2320.0,-48.5044574,LADEILZA LEOPOLDINO,0.0,120076,1,SSPSP,10.0,1660.0,M,0.0,6.0,SP,20.0,20.0
42,6505141909247036,15910000,986.0,986.0,99987992366,2018-05-03T18:17:00,2017-11-15T16:01:35.930000,1980-02-01T00:00:00,2022-11-30T00:00:00,HBA HUTCHINSON,1,109168,32906089.0,185323087,10493,-21.2509199,2320.0,-48.5044574,LADEILZA LEOPOLDINO,0.0,120076,1,SSPSP,10.0,1660.0,M,0.0,6.0,SP,10.0,10.0
43,5286140213183093,38307797,840.0,986.0,99987899587,2018-05-02T15:23:00,2017-10-23T15:24:41.950000,1992-11-17T00:00:00,2019-10-23T15:25:00,,1,110029,33835300.0,185140583,271,-18.9859619141,2320.0,-49.4964027405,LIZANCA LEOPOLDINO,,121004,2,SSPMG,,1772.05,F,,6.0,MG,95.8,47.9
44,5286096835766391,3982030,840.0,986.0,99987496970,2018-05-28T11:36:00,2016-08-11T15:49:06.770000,1970-11-12T00:00:00,2019-08-31T00:00:00,ZILDETE FORNECEDORA,2,113737,2748571.0,189704827,270,-23.6093196,900.0,-46.5159528,ARNOLDO MASCHIO,0.0,125030,1,SSPSP,3.0,830.0,F,0.0,13.0,SP,28.0,28.0
45,5286125983888344,17900000,840.0,986.0,99987407625,2018-05-03T17:14:00,2017-05-01T01:20:55.143000,1989-07-28T00:00:00,2022-05-31T00:00:00,AUTONOMO   PEDREIRO,1,114564,2766547.0,185308420,270,-21.4853553772,660.0,-51.5432701111,HAYDIL LEOPOLDINO,0.0,125923,1,SSPPR,3.0,830.0,M,1.0,0.0,SP,19.43,19.43
46,5286086519894062,17280000,840.0,986.0,99987266037,2018-05-01T12:33:00,2015-11-01T01:01:01.877000,1982-10-25T00:00:00,2018-11-30T00:00:00,,1,115853,32988424.0,185007539,270,0.0,990.0,0.0,CALEU LEOPOLDINO,0.0,127339,1,SSPSP,,1245.0,F,7.0,11.0,SP,42.7,42.7
47,5286104595282648,35024160,840.0,986.0,99986780136,2018-05-01T08:24:00,2017-04-01T01:31:51.540000,1974-07-16T00:00:00,2022-04-30T00:00:00,,2,120329,2815515.0,184979243,270,-18.83282,2200.0,-41.8961343,VILMANIR CORTES,0.0,132198,1,SSPMG,,830.0,F,10.0,15.0,MG,20.0,20.0
48,5286104595282648,35024160,840.0,986.0,99986780136,2018-05-03T16:33:00,2017-04-01T01:31:51.540000,1974-07-16T00:00:00,2022-04-30T00:00:00,,2,120329,4722070.0,185299530,270,-18.8548185,2200.0,-41.9430538,VILMANIR CORTES,0.0,132198,1,SSPMG,,830.0,F,10.0,15.0,MG,15.0,15.0
49,5286104595282648,35024160,840.0,986.0,99986780136,2018-05-03T13:11:00,2017-04-01T01:31:51.540000,1974-07-16T00:00:00,2022-04-30T00:00:00,,2,120329,31007986.0,185260547,270,-18.8548185,2200.0,-41.9430538,VILMANIR CORTES,0.0,132198,1,SSPMG,,830.0,F,10.0,15.0,MG,20.0,20.0
50,5286091975290359,19911425,840.0,986.0,99986633427,2018-05-02T15:11:00,2016-04-11T18:49:54.247000,1964-04-07T00:00:00,2019-04-30T00:00:00,HOTEL VILAGE,4,121670,2749546.0,185138252,270,-22.9778388,1615.306,-49.8691737,EDIGLEISON RAMUNDO,0.0,133665,1,SSPSP,5.0,830.0,F,18.0,3.0,SP,17.98,17.98
51,5286101466426493,18409260,840.0,986.0,99985761804,2018-05-05T15:55:00,2017-01-13T22:19:32.747000,1994-08-17T00:00:00,2022-01-31T00:00:00,ASSOC P DES EDUC SOC ADOLESC ITAPEVA,1,129759,2738624.0,185660550,270,-23.981391,1250.0,-48.8792878,ELCINARIA SATO,0.0,142381,1,SSPSP,5.0,830.0,F,5.0,1.0,SP,3.98,3.98
52,5286103598402535,19470000,840.0,986.0,99985835786,2018-05-03T07:09:00,2017-03-02T23:23:22.837000,1973-03-31T00:00:00,2020-03-02T23:23:00,RONALDO BELENTANI JUNIOR P  EPITACIO ME,2,129059,33849479.0,185211747,270,-20.5570907593,4000.0,-48.5741653442,EHONN ALBUQUERQUE,0.0,141642,1,SSPSP,5.0,7324.75,F,3.0,20.0,SP,18.9,18.9
53,5269134013347055,6874260,,,99985748204,2018-05-03T16:24:00,2017-07-19T10:06:45.100000,1979-07-16T00:00:00,2019-07-19T10:07:00,,2,129887,,185297547,503,-23.6743762,9300.0,-46.7736217,VALTON SATO,,142517,5,SSPSP,,3735.0,F,,11.0,SP,239.91,47.98
54,5286082993559966,86081541,840.0,986.0,99985750799,2018-05-01T09:55:00,2015-08-01T01:16:55.690000,1975-10-22T00:00:00,2018-08-31T00:00:00,HOSPITAL MATERDEI,2,129860,8090040.0,184986397,270,-23.2617709,2745.0,-51.1939817,MALVINA SATO,0.0,142492,1,SSPPR,20.0,830.0,F,0.0,20.0,PR,14.77,14.77
55,5286096171116776,85852290,840.0,986.0,99985518209,2018-05-01T20:00:00,2016-08-01T00:16:55.190000,1974-03-20T00:00:00,2019-08-31T00:00:00,,1,131997,2754380.0,185047288,270,-25.5214557648,2320.0,-54.5524406433,ISAFRAN TIBU,,144817,1,SSPPR,,830.0,F,,7.0,PR,58.0,58.0
56,5286141263672952,74740090,840.0,986.0,99985488610,2018-05-04T17:46:00,2017-11-06T15:10:52.027000,1963-02-07T00:00:00,2019-11-06T15:11:00,,1,132267,6197345.0,185475185,270,-16.6299957,1758.0,-49.2351688,GEISANE TIBU,0.0,145113,1,SSPGO,4.0,830.0,F,37.0,0.0,GO,24.0,24.0
57,5286141263672952,74740090,840.0,986.0,99985488610,2018-05-05T12:08:00,2017-11-06T15:10:52.027000,1963-02-07T00:00:00,2019-11-06T15:11:00,,1,132267,33533651.0,185593327,270,-16.6868089,1758.0,-49.2133693,GEISANE TIBU,0.0,145113,1,SSPGO,4.0,830.0,F,37.0,0.0,GO,40.0,40.0
58,5286086530101190,9132410,840.0,986.0,99985095561,2018-05-04T13:29:00,2015-11-01T01:01:11.050000,1980-08-10T00:00:00,2018-11-30T00:00:00,VOLKSWAGEN DO BRASIL,8,135912,33865315.0,185417593,270,-24.0427216,1750.0,-46.5246265,ALMERITO ALBUQUERQUE,0.0,149044,1,SSPSP,10.0,1245.0,M,9.0,4.0,SP,27.0,27.0
59,5286086530101190,9132410,840.0,986.0,99985095561,2018-05-05T13:39:00,2015-11-01T01:01:11.050000,1980-08-10T00:00:00,2018-11-30T00:00:00,VOLKSWAGEN DO BRASIL,8,135912,33886715.0,185624234,270,-24.0419601,1750.0,-46.5222716,ALMERITO ALBUQUERQUE,0.0,149044,1,SSPSP,10.0,1245.0,M,9.0,4.0,SP,24.0,24.0
60,5286132517176452,79015390,840.0,986.0,99984568512,2018-05-01T00:29:00,2017-06-23T18:58:30.883000,1994-05-04T00:00:00,2019-06-23T18:59:00,,1,140820,22328595.0,184962154,270,-20.3974933624,379.533,-54.55884552,JANER ESTENHO,0.0,154314,1,SSPMS,,830.0,F,21.0,3.0,MS,36.0,36.0
61,5286136841594835,7031000,840.0,986.0,99984477983,2018-05-05T16:47:00,2017-09-01T00:24:59.427000,1942-07-13T00:00:00,2019-09-30T00:00:00,,4,141656,5434050.0,185673704,270,-23.4920281,3300.0,-46.5421611,JANIELY ESTENHO,,155220,1,SSPSP,,1406.85,F,,0.0,SP,12.63,12.63
62,5286136841736288,4347050,986.0,986.0,99984412342,2018-05-02T16:15:00,2017-09-01T00:24:59.467000,1980-12-12T00:00:00,2019-09-30T00:00:00,DESTRA COMERCIO E SERVICOS LCTDA,2,142278,30991850.0,185356068,271,-23.6693904,2285.0,-46.6407237,AUDENYVIA CANSANCAO,0.0,155876,2,SSPSP,20.0,830.0,M,0.0,7.0,SP,122.76,61.38
63,5286101966328693,17340000,840.0,986.0,99984073386,2018-05-05T16:16:00,2017-02-01T01:16:42.573000,1980-02-19T00:00:00,2022-02-28T00:00:00,USINA DE SAO MANUEL,1,145387,32081769.0,185665968,270,-22.3074594,2320.0,-48.5764259,ALAYSE SOARES,0.0,159266,1,SSPSP,10.0,1245.0,M,2.0,7.0,SP,131.45,131.45
64,5286126451156431,11355270,840.0,986.0,99983800306,2018-05-03T06:39:00,2017-05-02T23:28:07.920000,1955-02-02T00:00:00,2022-05-31T00:00:00,,2,147902,2803883.0,185210852,270,-23.9457633,1750.0,-46.4048359,FRANCIELENE MERUOCA,,161996,1,SSPSP,,830.0,F,,17.0,SP,15.0,15.0
65,5286097354827055,32900000,840.0,986.0,99983733013,2018-05-05T13:16:00,2016-09-01T01:05:50.070000,1953-12-15T00:00:00,2019-09-30T00:00:00,,8,148522,33890848.0,185617173,270,-20.0504378,1630.0,-44.3110876,REIVERLANY MERUOCA,0.0,162669,1,SSPMG,4.0,830.0,M,7.0,0.0,MG,70.0,70.0
66,6505152321833038,3203000,986.0,986.0,99983612577,2018-05-03T11:26:00,2018-02-26T20:32:42.077000,1945-02-11T00:00:00,2023-02-28T00:00:00,,5,149625,32325602.0,185240850,10493,-23.6024494171,4000.0,-46.5679473877,SHARMENIA LOURENCO,0.0,163874,1,SSPSP,4.0,2905.0,F,35.0,0.0,SP,103.58,103.58
67,5286125998505380,13502851,840.0,986.0,99983349779,2018-05-07T05:38:00,2017-05-01T01:20:58.963000,1952-11-30T00:00:00,2022-05-31T00:00:00,ALUGUEL DE CASAS,5,152039,33920107.0,185847955,270,-22.4346242,3155.0,-47.5819884,ARNOR ESTENHO,0.0,166502,1,SSPSP,3.0,830.0,F,16.0,0.0,SP,19.9,19.9
68,5286086537947708,15600000,840.0,986.0,99983276879,2018-05-01T20:09:00,2015-11-01T01:01:18.163000,1981-06-17T03:00:00,2018-11-30T00:00:00,AUTONOMA VENDE LINGERIE,2,152721,2814738.0,185047981,270,-20.2822977,1000.0,-50.2393055,JOSILTO DEOTERIO,0.0,167231,1,SSPSP,3.0,751.15,F,4.0,17.0,SP,14.0,14.0
69,5286086537947708,15600000,840.0,986.0,99983276879,2018-05-06T09:42:00,2015-11-01T01:01:18.163000,1981-06-17T03:00:00,2018-11-30T00:00:00,AUTONOMA VENDE LINGERIE,2,152721,20227910.0,185757252,270,-20.2823563,1000.0,-50.2392855,JOSILTO DEOTERIO,0.0,167231,1,SSPSP,3.0,751.15,F,4.0,17.0,SP,50.09,50.09
70,5286086538429478,86086100,840.0,986.0,99983121590,2018-05-04T16:56:00,2015-11-01T01:01:18.600000,1966-01-28T03:00:00,2018-11-30T00:00:00,CASA DE REPOUSO MARANATA,2,154159,5074747.0,185462156,270,-23.2545097,900.0,-51.1425132,AUTIBERTO MUCE,0.0,168784,1,SSPPR,20.0,1025.05,F,8.0,6.0,PR,41.13,41.13
71,5286096137577199,18206330,840.0,986.0,99982316710,2018-05-06T10:41:00,2016-07-30T10:39:45.013000,1966-08-04T00:00:00,2019-07-31T00:00:00,CONSTRUTORA MADRI,7,161551,2768934.0,185766315,270,-23.6043321,3745.0,-48.0705859,VALTEIZE SERODIO,0.0,176832,1,SSPAL,10.0,2075.0,M,0.0,6.0,SP,19.19,19.19
72,5286104602326384,37800000,840.0,986.0,99982089633,2018-05-03T07:14:00,2017-04-01T01:31:54.587000,1972-10-16T00:00:00,2022-04-30T00:00:00,DR BENEDICTO FELIPE DA SILVA,2,163641,2721853.0,185211972,270,-21.3006527,2500.0,-46.6998884,ISTHEFANY SERODIO,0.0,179103,1,SSPMG,22.0,1660.0,M,20.0,22.0,MG,39.86,39.86
